is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,States,Wisconsin,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.9861, 'Milwaukee', 'Place']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.6565, 'Day', 'Other']"
False,Person,Gretchen Whitmer,Person,Rashida Tlaib,Events [Entity Service],2022 United States midterm elections,Politician,Gretchen Whitmer,Politician,Rashida Tlaib,Political Race,2022 United States midterm elections,
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,States,Michigan,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.953, 'Michigan', 'Place']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.9741, 'Detroit', 'Place']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.7515, 'Day', 'Other']"
False,Person,Sanford D. Bishop Jr.,Person,Stacey Abrams,Person,Raphael Warnock,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Georgia's gubernatorial election, 2022",Events [Entity Service],"Georgia's U.S. Senate election, 2022",
False,States,Georgia,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.9771, 'Georgia', 'Place']"
False,States,Georgia,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.9763, 'Georgia', 'Place']"
False,Business Taxonomy,Food & Beverage Business,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.5014, 'Michelle', 'Person']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Barack Obama,Person,Michelle Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Michelle Obama,Unified Twitter Taxonomy,Politics,"[0.9437, 'Get Her There', 'Other']"
False,Events [Entity Service],2022 United States midterm elections,Political Race,2022 United States midterm elections,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,United States politics,Unified Twitter Taxonomy,United States political events,Unified Twitter Taxonomy,2022 United States midterm elections,"[0.5745, 'Democrats', 'Organization']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.7566, 'Ash Carter', 'Person']"
False,Person,Eli Manning,Sport,Cricket,Business Taxonomy,Gaming Business,Business Taxonomy,Sports & Fitness Business,Athlete,Eli Manning,Unified Twitter Taxonomy,American football,"[0.4719, 'Peyton', 'Person']"
False,Business Taxonomy,Food & Beverage Business,Unified Twitter Taxonomy,Climate change,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,
False,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Business Taxonomy,Entertainment & Leisure Business,Brand,Netflix,Movie,Reclaim,Unified Twitter Taxonomy,Netflix,"[0.9509, 'Netflix', 'Organization']"
False,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Person,Barack Obama,Politician,Barack Obama,Movie Genre,Documentary films,Unified Twitter Taxonomy,Barack Obama,"[0.9241, 'Descendant', 'Other']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.6164, 'Day', 'Other']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.601, 'Day', 'Other']"
False,Person,Joe Biden,Politician,Joe Biden,Business Taxonomy,Financial Services Business,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,
False,Business Taxonomy,Financial Services Business,Person,Barack Obama,Politician,Barack Obama,Interests and Hobbies Vertical,Business & finance,Interests and Hobbies Category,Small business,Unified Twitter Taxonomy,Barack Obama,"[0.7658, 'Obama Presidential Center', 'Other']"
False,Cities,Chicago,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.9784, 'Chicago', 'Place']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.5065, 'Michelle', 'Other']"
False,TV Shows,Pod Save America,Events [Entity Service],2022 United States midterm elections,Political Race,2022 United States midterm elections,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,United States politics,Unified Twitter Taxonomy,United States political events,"[0.7108, 'Democrats', 'Organization']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.408, 'Imani', 'Person']"
False,Business Taxonomy,"Automotive, Aircraft & Boat Business",Entities [Entity Service],Science,Interests and Hobbies Category,Space,Unified Twitter Taxonomy,Space,Unified Twitter Taxonomy,Johns Hopkins University,Unified Twitter Taxonomy,Space missions,"[0.5857, 'DART', 'Other']"
False,Events [Entity Service],International Day of the Girl 2022,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.9598, 'Mary Smith', 'Person']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Unified Twitter Taxonomy,Weather,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.4876, 'Hurricane Fiona', 'Person']"
False,Unified Twitter Taxonomy,Weather,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.6915, 'Hurricane Ian', 'Other']"
False,Unified Twitter Taxonomy,Weather,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.628, 'Michelle', 'Other']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.8951, 'America', 'Place']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.7312, 'Miche', 'Other']"
False,Person,Jimmy Carter,Politician,Jimmy Carter,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Jimmy Carter,Person,Barack Obama,
False,Cities,Chicago,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.8899, 'Chicago', 'Place']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.6709, 'Obama Presidential Center', 'Other']"
False,Person,BOYS AND MEN,Musician,BOYS AND MEN,Music Genre,J-pop,Unified Twitter Taxonomy,BOYS AND MEN,Person,Barack Obama,Politician,Barack Obama,
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Interests and Hobbies Category,Libraries,Unified Twitter Taxonomy,Libraries,Unified Twitter Taxonomy,Arts & culture,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,"[0.7995, 'Brooklyn Library', 'Organization']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,States,Texas,"[0.7622, 'Cameron', 'Person']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.5315, 'Rebecca', 'Person']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.764, 'Banned Books Week', 'Other']"
False,Interests and Hobbies Category,Libraries,Unified Twitter Taxonomy,Libraries,Unified Twitter Taxonomy,Arts & culture,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,"[0.9108, 'LGBTQ', 'Place']"
False,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Unified Twitter Taxonomy,Climate change,Person,Barack Obama,Politician,Barack Obama,Unified Twitter Taxonomy,Barack Obama,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,
False,Events [Entity Service],2022 United States midterm elections,Political Race,2022 United States midterm elections,Political Body,United States Congress,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,United States Congress,Unified Twitter Taxonomy,Government institutions,"[0.9836, 'John Lewis', 'Person']"
False,Unified Twitter Taxonomy,British Royal Family,Person,Barack Obama,Person,Elizabeth II,Politician,Barack Obama,Politician,Elizabeth II,Unified Twitter Taxonomy,Barack Obama,"[0.6395, 'Michelle', 'Person']"
False,TV Shows,WNBA Basketball,Sports Event,Aces at Sun,Person,Becky Hammon,Sport,Basketball,Sports Team,Las Vegas Aces,Sports League,WNBA,"[0.7998, 'WNBA', 'Organization']"
