is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Jeff Bezos,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,"[0.4854, 'Courage', 'Other']"
False,Person,Jeff Bezos,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,
False,Person,Jeff Bezos,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,"[0.577, 'Hutch', 'Other']"
False,Person,Jeff Bezos,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Science,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,
False,TV Shows,The Lord of the Rings: The Rings of Power,Person,Jeff Bezos,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Technology Business,Business Taxonomy,"Textile, Apparel & Luxury Good Business",Unified Twitter Taxonomy,Jeff Bezos,
False,Person,Jeff Bezos,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,
False,Person,Jeff Bezos,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,
False,Person,Jeff Bezos,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,
False,Person,Jeff Bezos,Person,Elizabeth II,Politician,Elizabeth II,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Elizabeth II,
False,,,,,,,,,,,,,
False,Person,Jeff Bezos,Multimedia Franchise,The Lord of the Rings,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Entertainment,Unified Twitter Taxonomy,The Lord of the Rings,Unified Twitter Taxonomy,Entertainment franchises,
False,Person,Jeff Bezos,Brand,Amazon,Product,Amazon - Alexa,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Political Body,United States Coast Guard,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,United States Coast Guard,Unified Twitter Taxonomy,Government institutions,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.948, 'Tom Alberg', 'Person']"
False,TV Shows,The Lord of the Rings: The Rings of Power,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Sci-fi & fantasy,Unified Twitter Taxonomy,The Lord of the Rings,Unified Twitter Taxonomy,Television,"[0.9149, 'Comic-Con', 'Other']"
False,Person,Jeff Bezos,Person,Andy Jassy,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Unified Twitter Taxonomy,Andy Jassy,
False,TV Shows,The Lord of the Rings: The Rings of Power,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Sci-fi & fantasy,Unified Twitter Taxonomy,The Lord of the Rings,Unified Twitter Taxonomy,Television,"[0.9584, 'TheRingsOfPower', 'Other']"
False,Person,Jeff Bezos,Interests and Hobbies,Inflation,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Political Body,The White House,"[0.655, 'White House', 'Place']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Entities [Entity Service],Science,Entities [Entity Service],Zoology,Interests and Hobbies,Nature,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Biology,
False,Person,Jeff Bezos,Brand Vertical,Transportation,Interests and Hobbies Category,Railway transport,Unified Twitter Taxonomy,Transportation,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Travel,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,"[0.7399, 'BusinessWeek', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Interests and Hobbies,Inflation,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,
False,Person,Jeff Bezos,Interests and Hobbies,Inflation,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Services,"[0.5124, 'White House', 'Place']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.694, 'AMZN', 'Other']"
False,Person,Jeff Bezos,Interests and Hobbies,Inflation,Ongoing News Story,COVID-19,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,"[0.6773, 'Manchin', 'Person']"
False,Person,Jeff Bezos,Interests and Hobbies,Inflation,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Services,"[0.5206, 'Board', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Services,Brand,Twitter,"[0.9539, 'twitter', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Place,Statue of Liberty,Entities [Entity Service],Travel,Interests and Hobbies Category,Destinations,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,Entities [Entity Service],Science,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Space,
False,Person,Jeff Bezos,News Vertical,Political News,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,News,Unified Twitter Taxonomy,Journalists,"[0.598, 'Pulitzers', 'Organization']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Interests and Hobbies Vertical,Business & finance,Interests and Hobbies Category,Personal finance,"[0.5056, 'Bill', 'Person']"
False,Person,Jeff Bezos,Events [Entity Service],Mars 2020 Perseverance Rover Mission,Entities [Entity Service],Services,Entities [Entity Service],Aerospace,Brand,NASA,Product,Google Innovation,"[0.4974, 'MiMi', 'Person']"
False,TV Shows,Reacher,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,"[0.9678, 'twitter', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.4959, 'Musk', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Auto Manufacturer - Auto,Entities [Entity Service],Services,"[0.9592, 'China', 'Place']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Unified Twitter Taxonomy,Journalism,Unified Twitter Taxonomy,Writing,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Auto Manufacturer - Auto,Entities [Entity Service],Services,
False,Person,Jeff Bezos,Entities [Entity Service],Technology,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Unified Twitter Taxonomy,Climate change,"[0.6575, 'Climate Pledge', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Entertainment,Unified Twitter Taxonomy,Podcasts & radio,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,"[0.9729, 'Van Jones', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.9791, 'Jonathan Haidt', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Services,Brand,Twitter,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.9215, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Services,Brand,LinkedIn,"[0.9625, 'Amazon', 'Organization']"
