is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,TV Shows,E! People's Choice Awards,Person,Kim Kardashian,Events [Entity Service],People's Choice Awards 2022,Entertainment Personality,Kim Kardashian,Award Show,People's Choice Awards 2022,Unified Twitter Taxonomy,Kim Kardashian,
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,"[0.8522, 'SKIMS Holiday', 'Other']"
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,"[0.6354, 'Holiday Shop', 'Other']"
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,Person,Kim Kardashian,Business Taxonomy,"Textile, Apparel & Luxury Good Business",Brand,Balenciaga,Entertainment Personality,Kim Kardashian,Interests and Hobbies Vertical,Fashion & beauty,Interests and Hobbies,Fashion,"[0.4139, 'Balenciaga', 'Other']"
False,Person,Kim Kardashian,Business Taxonomy,"Textile, Apparel & Luxury Good Business",Brand,Balenciaga,Entertainment Personality,Kim Kardashian,Interests and Hobbies Vertical,Fashion & beauty,Interests and Hobbies,Fashion,"[0.7967, 'Balenciaga', 'Person']"
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,
False,Person,Kim Kardashian,Business Taxonomy,"Textile, Apparel & Luxury Good Business",Brand,Balenciaga,Entertainment Personality,Kim Kardashian,Interests and Hobbies Vertical,Fashion & beauty,Interests and Hobbies,Fashion,"[0.5898, 'Balenciaga', 'Organization']"
False,Person,Kim Kardashian,Events [Entity Service],Black Friday,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Black Friday,"[0.5661, 'KardashianKloset', 'Organization']"
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,"[0.6434, 'Darius', 'Other']"
False,Person,Kim Kardashian,Events [Entity Service],Thanksgiving Day ,Business Taxonomy,Food & Beverage Business,Entertainment Personality,Kim Kardashian,Holiday,Thanksgiving Day ,Unified Twitter Taxonomy,Kim Kardashian,
False,Person,Kim Kardashian,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Celebrities,Unified Twitter Taxonomy,Famous families,Unified Twitter Taxonomy,Kardashian-Jenner,"[0.9, 'Malibu', 'Place']"
False,TV Shows,NBA Basketball,Person,Kim Kardashian,Sport,Basketball,Sports League,NBA,Events [Entity Service],Friendsgiving 2022,Business Taxonomy,Food & Beverage Business,"[0.6981, 'Camp Kilpatrick', 'Place']"
False,TV Shows,The Kardashians ,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Reality TV,"[0.7606, 'Cici', 'Other']"
False,TV Shows,The Kardashians ,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Reality TV,
False,TV Shows,The Kardashians ,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Reality TV,
False,TV Shows,The Kardashians ,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Reality TV,
False,TV Shows,The Kardashians ,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Reality TV,
False,TV Shows,The Kardashians ,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Reality TV,
False,TV Shows,The Kardashians ,Person,Kim Kardashian,Business Taxonomy,Entertainment & Leisure Business,Entertainment Personality,Kim Kardashian,Unified Twitter Taxonomy,Kim Kardashian,Unified Twitter Taxonomy,Reality TV,
