is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Brand,bodybuilding.com,Athlete,Shaquille O'Neal,Interests and Hobbies Vertical,Fitness,Interests and Hobbies Vertical,Wellness and health,"[0.5017, 'novexbrandpartner', 'Other']"
False,Person,Shaquille O'Neal,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Sports & Fitness Business,Brand,HBO,"[0.4774, 'SHAQ', 'Other']"
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Person,Young Bucks,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Athlete,Young Bucks,Sports Personality,Shaquille O'Neal,"[0.9298, 'NBA2K23ArcadeEdition', 'Other']"
False,Person,Shaquille O'Neal,Brand Vertical,Dining,Entities [Entity Service],QSR - Dining,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Sports & Fitness Business,Brand,Papa John's,"[0.4784, 'ShaqARoni', 'Person']"
False,Person,Shaquille O'Neal,Person,Candace Parker,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Athlete,Candace Parker,Sports Personality,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Gaming Business,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Events [Entity Service],Halloween ,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,"[0.5361, 'Shaqtoberfest', 'Other']"
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,"[0.4782, 'RideWithTheGeneral', 'Other']"
False,Person,Shaquille O'Neal,Person,Kathie Lee Gifford,Business Taxonomy,Sports & Fitness Business,Entertainment Personality,Kathie Lee Gifford,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
False,TV Shows,NBA Basketball,TV Shows,NBA Basketball,Person,Shaquille O'Neal,Sport,Basketball,Sports League,NBA,Brand Vertical,Dining,"[0.7992, 'Papa Johns', 'Person']"
False,Person,Shaquille O'Neal,Business Taxonomy,Sports & Fitness Business,Athlete,Shaquille O'Neal,Sports Personality,Shaquille O'Neal,Sports Personality,Sports icons,Unified Twitter Taxonomy,Shaquille O'Neal,
