is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Political Body,United States Congress,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Nancy Pelosi,"[0.9804, 'Washington', 'Place']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Climate change,"[0.307, 'NGO', 'Other']"
False,Person,Nancy Pelosi,Events [Entity Service],"COP27 Sharm Al Sheikh, Egypt",Politician,Nancy Pelosi,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,Unified Twitter Taxonomy,Political figures,"[0.8174, 'COP27', 'Other']"
False,Person,Joe Biden,Person,Nancy Pelosi,Politician,Joe Biden,Politician,Nancy Pelosi,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,"[0.9567, 'Biden', 'Person']"
False,Person,Joe Biden,Person,Nancy Pelosi,Politician,Joe Biden,Politician,Nancy Pelosi,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,"[0.9396, 'America', 'Place']"
False,Person,Nancy Pelosi,Events [Entity Service],"COP27 Sharm Al Sheikh, Egypt",Politician,Nancy Pelosi,Political Body,United States Congress,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,"[0.9376, 'COP27', 'Other']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,Unified Twitter Taxonomy,Political figures,Interests and Hobbies Vertical,Family and life stages,
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Financial Services Business,Political Body,United States Congress,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.5973, 'American Rescue Plan', 'Other']"
False,Person,Joe Biden,Person,Nancy Pelosi,Politician,Joe Biden,Politician,Nancy Pelosi,Political Body,United States Congress,Unified Twitter Taxonomy,Joe Biden,"[0.6396, 'Congress', 'Organization']"
False,Person,Nancy Pelosi,Events [Entity Service],Veterans Day ,Politician,Nancy Pelosi,Unified Twitter Taxonomy,Holidays,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.5035, 'Day', 'Other']"
