is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,,,
False,Person,Ben Shapiro,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,News Vertical,News,News Vertical,Business & finance news,Unified Twitter Taxonomy,Business & finance,"[0.9651, 'Twitter', 'Other']"
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,,,
False,Person,Nancy Pelosi,Person,Ben Shapiro,Politician,Nancy Pelosi,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Business Taxonomy,Publisher & News Business,
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,Entities [Entity Service],Services,Brand,Twitter,"[0.9863, 'Twitter', 'Other']"
False,Person,Ben Shapiro,Business Taxonomy,Publisher & News Business,Brand,Reuters,Unified Twitter Taxonomy,Reuters,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,News,"[0.7378, 'Daily News', 'Other']"
False,Person,Mark Zuckerberg,Person,Ben Shapiro,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Mark Zuckerberg,Unified Twitter Taxonomy,Ben Shapiro,"[0.9768, 'Mark Zuckerberg', 'Person']"
False,Person,Ben Shapiro,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,"[0.5195, 'Musk', 'Person']"
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,Entities [Entity Service],Services,Brand,Twitter,"[0.5803, 'Democrats', 'Organization']"
False,Person,Ben Shapiro,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,,,
False,Person,Ben Shapiro,Ongoing News Story,COVID-19,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,COVID-19,"[0.8602, 'covid', 'Other']"
False,Person,Ben Shapiro,Interests and Hobbies,Traffic,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,"[0.4096, 'oligopoly', 'Other']"
False,Person,Ben Shapiro,Interests and Hobbies,Traffic,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,Entities [Entity Service],Services,Brand,Twitter,"[0.9853, 'Facebook', 'Other']"
False,Person,Donald Trump,Person,Ben Shapiro,Politician,Donald Trump,Unified Twitter Taxonomy,Donald Trump,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,"[0.9626, 'Trump', 'Person']"
False,Person,Donald Trump,Person,Ben Shapiro,Politician,Donald Trump,Unified Twitter Taxonomy,Donald Trump,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,"[0.5351, 'Democrats', 'Organization']"
False,Person,Ben Shapiro,Business Taxonomy,Publisher & News Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,News,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Social media,Technology,Social media,"[0.9647, 'Twitter', 'Other']"
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,,,
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,,,"[0.8626, 'Drudge Report', 'Other']"
False,Person,Ben Shapiro,Business Taxonomy,Publisher & News Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,Brand,The New York Times,"[0.9281, 'The New York Times', 'Other']"
False,Person,Ben Shapiro,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,News Vertical,News,News Vertical,Business & finance news,Unified Twitter Taxonomy,Business & finance,"[0.9618, 'Twitter', 'Other']"
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,,,
False,Person,Jeff Bezos,Person,George Soros,Person,Ben Shapiro,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Jeff Bezos,"[0.9773, 'Elon Musk', 'Person']"
False,Person,Ben Shapiro,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,Unified Twitter Taxonomy,Political figures,,,,,
False,Person,Ben Shapiro,Person,Jordan Peterson,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Ben Shapiro,
