is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Cristiano Ronaldo,Business Taxonomy,Gaming Business,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,
False,Person,Cristiano Ronaldo,Business Taxonomy,Financial Services Business,Business Taxonomy,Sports & Fitness Business,Business Taxonomy,Technology Business,Entities [Entity Service],Binance Coin cryptocurrency,Brand,Binance,"[0.7535, 'NFT', 'Other']"
False,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,"[0.4471, 'Selecção Nacional', 'Other']"
False,TV Shows,Premier League,Sports Event,Manchester United vs Leicester City,Sports Event,Manchester United vs Brentford FC,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,
False,TV Shows,Premier League,Sports Event,Manchester United vs Leicester City,Sports Event,Manchester United vs Brentford FC,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,"[0.9634, 'Asia', 'Place']"
False,Person,Cristiano Ronaldo,Sport,Soccer,Sports Team,Portugal,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Portugal,"[0.9165, 'Portugal', 'Place']"
False,Sports Event,Real Sociedad vs Manchester United,Person,Cristiano Ronaldo,Sports League,International Clubs - Soccer,Sports League,UEFA Europa League,Events [Entity Service],Real Sociedad vs Manchester United,Soccer Match,Real Sociedad vs Manchester United,
False,TV Shows,Premier League,Sports Event,Manchester United vs West Ham United,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,"[0.4752, 'WellDoneLads', 'Other']"
False,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,"[0.6553, 'LiveScore', 'Other']"
False,Sports Event,Manchester United vs FC Sheriff Tiraspol,Person,Cristiano Ronaldo,Sports League,International Clubs - Soccer,Sports League,UEFA Europa League,Events [Entity Service],Manchester United vs FC Sheriff Tiraspol,Soccer Match,Manchester United vs FC Sheriff Tiraspol,"[0.932, 'United', 'Organization']"
False,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,
False,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,"[0.7199, 'Theragun', 'Other']"
False,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,
False,Sports Event,Manchester United vs AC Omonia Nicosia,Person,Cristiano Ronaldo,Sports League,International Clubs - Soccer,Sports League,UEFA Europa League,Events [Entity Service],Manchester United vs AC Omonia Nicosia,Soccer Match,Manchester United vs AC Omonia Nicosia,"[0.8881, 'mufc', 'Organization']"
False,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,"[0.5908, 'ClearxCR7', 'Person']"
False,Person,Cristiano Ronaldo,Business Taxonomy,Gaming Business,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,
False,TV Shows,The 700 Club,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,"[0.8338, 'United', 'Organization']"
False,TV Shows,Premier League,Sports Event,Everton FC vs Manchester United,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,
False,Sports Event,Czech Republic vs Portugal,Person,Cristiano Ronaldo,Sport,Soccer,Sports Team,Portugal,Sports League,International - Soccer,Sports League,UEFA Nations League,
False,Person,Cristiano Ronaldo,Sport,Cricket,Business Taxonomy,Gaming Business,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,
False,Person,Cristiano Ronaldo,Business Taxonomy,Sports & Fitness Business,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,
False,Sports Event,FC Sheriff Tiraspol vs Manchester United,Person,Cristiano Ronaldo,Sports League,International Clubs - Soccer,Sports League,UEFA Europa League,Events [Entity Service],FC Sheriff Tiraspol vs Manchester United,Soccer Match,FC Sheriff Tiraspol vs Manchester United,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,TV Shows,Premier League,Sports Event,Manchester United vs Arsenal FC,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,"[0.6003, 'Devils', 'Other']"
False,TV Shows,Premier League,Sports Event,Leicester City vs Manchester United,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,"[0.9683, 'mufc', 'Organization']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,TV Shows,Premier League,Sports Event,Southampton FC vs Manchester United,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,"[0.9652, 'mufc', 'Organization']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,"[0.3033, 'MLR', 'Person']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Entities [Entity Service],Binance Coin cryptocurrency,Brand,Binance,Athlete,Cristiano Ronaldo,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Soccer,"[0.6163, 'NFT', 'Other']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,"[0.3471, 'MLR', 'Other']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Sport,Soccer,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,"[0.837, 'Marcelo', 'Person']"
False,Sports Event,Portugal vs Czech Republic,Person,Cristiano Ronaldo,Sport,Soccer,Sports Team,Portugal,Sports League,International - Soccer,Sports League,UEFA Nations League,"[0.868, 'Portugal', 'Place']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Sports Event,Portugal vs Switzerland,Person,Cristiano Ronaldo,Sport,Soccer,Sports Team,Portugal,Sports League,International - Soccer,Sports League,UEFA Nations League,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,TV Shows,English Premier League Soccer,TV Shows,Barclays Premier League Football,TV Shows,Barclays Premier League Soccer,TV Shows,Premier League,Person,Cristiano Ronaldo,Sport,Soccer,"[0.6629, 'Premier League', 'Organization']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,TV Shows,Premier League,Sports Event,Manchester United vs Chelsea FC,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,"[0.765, 'Old Trafford', 'Place']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,"[0.6433, 'Dalot', 'Other']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,"[0.9307, 'LiveScore', 'Other']"
False,Sports Event,Portugal vs Turkey,Person,Cristiano Ronaldo,Sport,Soccer,Sports Team,Portugal,Sports League,International - Soccer,Sports League,"WC Qualification, UEFA","[0.929, 'Mundial 2022', 'Other']"
False,Person,Cristiano Ronaldo,Events [Entity Service],Father's Day 2020,Events [Entity Service],Father's Day ,Athlete,Cristiano Ronaldo,Holiday,Father's Day ,Unified Twitter Taxonomy,Soccer,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,Sports Team,Manchester United,"[0.899, 'United', 'Organization']"
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,Person,Cristiano Ronaldo,Athlete,Cristiano Ronaldo,Unified Twitter Taxonomy,Soccer,Unified Twitter Taxonomy,Cristiano Ronaldo,Unified Twitter Taxonomy,Sports,,,
False,TV Shows,English Premier League Soccer,TV Shows,UEFA Champions League Soccer,TV Shows,Barclays Premier League Football,TV Shows,UEFA Champions League Football,TV Shows,Barclays Premier League Soccer,TV Shows,UEFA Champions League Soccer,"[0.9633, 'Premier League', 'Organization']"
False,TV Shows,Premier League,Sports Event,Manchester United vs Brighton & Hove Albion,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,"[0.4392, 'Devils', 'Other']"
False,TV Shows,Premier League,Sports Event,Manchester United vs Southampton FC,Person,Cristiano Ronaldo,Sport,Soccer,Sports League,England - Soccer,Sports League,Premier League,"[0.9199, 'mufc', 'Organization']"
