is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Joe Biden,Person,Donald Trump,Politician,Joe Biden,Politician,Donald Trump,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Donald Trump,"[0.9603, 'Donald Trump', 'Person']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.7398, 'Bipartisan Infrastructure Law', 'Other']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.761, 'Bipartisan Infrastructure Law', 'Other']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Joe Biden,Events [Entity Service],2022 United States midterm elections,Politician,Joe Biden,Political Race,2022 United States midterm elections,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Global Economy,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,United States Healthcare System,"[0.924, 'America', 'Place']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.929, 'America', 'Place']"
False,Person,Joe Biden,Politician,Joe Biden,Interests and Hobbies,Inflation,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Global Economy,Unified Twitter Taxonomy,Politics,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Political figures,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.9287, 'America', 'Place']"
False,Person,Joe Biden,Events [Entity Service],2022 United States midterm elections,Politician,Joe Biden,Political Race,2022 United States midterm elections,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,
False,Person,Joe Biden,Events [Entity Service],2022 United States midterm elections,Politician,Joe Biden,Political Race,2022 United States midterm elections,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,
False,Person,Joe Biden,Person,Raphael Warnock,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Georgia's U.S. Senate election, 2022",Politician,Joe Biden,Politician,Raphael Warnock,"[0.5866, 'Rev. Warnock', 'Other']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Political figures,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.9004, 'America', 'Place']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,United States Healthcare System,Unified Twitter Taxonomy,Political issues,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.4828, 'Voter', 'Other']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,"[0.6566, 'Democrats', 'Organization']"
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,,,
