is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Justin Bieber,Musician,Justin Bieber,Unified Twitter Taxonomy,Justin Bieber,Unified Twitter Taxonomy,Pop,Unified Twitter Taxonomy,Music,,,
False,Video Game,Garena Free Fire,Unified Twitter Taxonomy,Gaming,Unified Twitter Taxonomy,Video games,Unified Twitter Taxonomy,Garena Free Fire,Person,Justin Bieber,Musician,Justin Bieber,"[0.4366, 'GarenaFreeFire', 'Other']"
False,Sports Event,Winter Olympics,Sports Event,2022 Beijing Winter Olympics,Sport,Hockey,Sports Team,Canada,Sports League,2022 Beijing Winter Olympics,Events [Entity Service],2022 Beijing Winter Olympics,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Person,SEVENTEEN,Musician,Justin Bieber,Musician,SEVENTEEN,Music Genre,K-pop,
False,Brand Vertical,Business & finance,Interests and Hobbies Vertical,Business & finance,Interests and Hobbies Category,Cryptocurrencies,Interests and Hobbies,Investing,Unified Twitter Taxonomy,Music,Unified Twitter Taxonomy,Investing,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Musician,Justin Bieber,Unified Twitter Taxonomy,Justin Bieber,Unified Twitter Taxonomy,Pop,Unified Twitter Taxonomy,Music,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Musician,Justin Bieber,Unified Twitter Taxonomy,Justin Bieber,Unified Twitter Taxonomy,Pop,Unified Twitter Taxonomy,Music,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Musician,Justin Bieber,Unified Twitter Taxonomy,Justin Bieber,Unified Twitter Taxonomy,Pop,Unified Twitter Taxonomy,Music,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Musician,Justin Bieber,Unified Twitter Taxonomy,Justin Bieber,Unified Twitter Taxonomy,Pop,Unified Twitter Taxonomy,Music,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Musician,Justin Bieber,Unified Twitter Taxonomy,Justin Bieber,Unified Twitter Taxonomy,Pop,Unified Twitter Taxonomy,Music,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Musician,Justin Bieber,Unified Twitter Taxonomy,Justin Bieber,Unified Twitter Taxonomy,Pop,Unified Twitter Taxonomy,Music,
False,Unified Twitter Taxonomy,Music,Person,Justin Bieber,Person,Hailey Bieber,Musician,Justin Bieber,Entertainment Personality,Hailey Bieber,Unified Twitter Taxonomy,Justin Bieber,"[0.4132, 'London Town', 'Place']"
