is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,,,,,,,,,,,,,
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,"[0.9506, 'Bitcoin', 'Other']"
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,"[0.9514, 'Bitcoin', 'Other']"
False,Business Taxonomy,Financial Services Business,Business Taxonomy,Gaming Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,"[0.9525, 'Bitcoin', 'Other']"
False,Entities [Entity Service],Services,Brand,Twitter,,,,,,,,,"[0.6747, 'Big Tech', 'Organization']"
False,,,,,,,,,,,,,
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,"[0.9608, 'Bitcoin', 'Other']"
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,"[0.5317, 'MSTR', 'Other']"
False,,,,,,,,,,,,,"[0.4507, 'Timechain', 'Organization']"
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Vertical,Business & finance,Interests and Hobbies Vertical,Business & finance,Interests and Hobbies Category,Personal finance,Interests and Hobbies Category,Cryptocurrencies,
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,"[0.9371, 'bitcoin', 'Other']"
False,Brand Vertical,Business & finance,Entities [Entity Service],Financial services,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Brand,Cash App,Interests and Hobbies Category,Cryptocurrencies,"[0.9531, 'bitcoin', 'Other']"
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,"[0.9663, 'Bitcoin', 'Other']"
False,,,,,,,,,,,,,"[0.604, 'MSTR', 'Organization']"
False,Entities [Entity Service],Auto Manufacturer - Auto,Business Taxonomy,Financial Services Business,Brand,Fiat,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Fiat,"[0.5344, 'Fiat', 'Other']"
False,Business Taxonomy,Financial Services Business,Entities [Entity Service],Bitcoin cryptocurrency,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Bitcoin cryptocurrency,Unified Twitter Taxonomy,Cryptocoins,"[0.9598, 'Bitcoin', 'Other']"
