is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Dwayne Johnson,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Actor,Dwayne Johnson,"[0.9737, 'Dwayne Johnson', 'Person']"
False,Person,Ellen DeGeneres,Person,Michelle Obama,Entertainment Personality,Ellen DeGeneres,Unified Twitter Taxonomy,Ellen DeGeneres,Unified Twitter Taxonomy,Michelle Obama,Unified Twitter Taxonomy,Politics,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Beliebers,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,Entertainment Personality,Ellen DeGeneres,
False,Person,Heidi Klum,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Entertainment Personality,Heidi Klum,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Multimedia Franchise,Harry Potter,Unified Twitter Taxonomy,Entertainment,Unified Twitter Taxonomy,Harry Potter,"[0.9689, 'HarryPotter', 'Other']"
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,Entertainment Personality,Ellen DeGeneres,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Food & Beverage Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,"[0.5045, 'WorldPickleDay', 'Other']"
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Interests and Hobbies Category,Sauna,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,
False,Person,Harry Connick Jr.,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Musician,Harry Connick Jr.,Music Genre,Soul music,
False,Person,Harry Connick Jr.,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Musician,Harry Connick Jr.,Music Genre,Soul music,Actor,Harry Connick Jr.,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,
False,TV Genres,Talk shows,Events [Entity Service],Veterans Day ,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Financial Services Business,"[0.8855, 'eBay', 'Organization']"
False,Person,Leonardo DiCaprio,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Actor,Leonardo DiCaprio,Unified Twitter Taxonomy,Leonardo DiCaprio,Unified Twitter Taxonomy,Television,
False,TV Genres,Talk shows,Events [Entity Service],Veterans Day ,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Holidays,Unified Twitter Taxonomy,Television,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,"[0.6987, 'KnowOrGo', 'Other']"
False,Person,Amy Poehler,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Actor,Amy Poehler,Unified Twitter Taxonomy,Amy Poehler,"[0.9716, 'Amy Poehler', 'Person']"
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,"[0.5571, 'Ellen', 'Other']"
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,Entertainment Personality,Ellen DeGeneres,
False,Person,Mariah Carey,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Musician,Mariah Carey,Music Genre,Pop,Music Genre,R&B and soul,
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Unified Twitter Taxonomy,Entertainment events,Unified Twitter Taxonomy,People's Choice Awards,"[0.9554, 'TheEllenShow', 'Other']"
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Justin Bieber,Person,Ellen DeGeneres,
False,Person,Rihanna,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Musician,Rihanna,Music Genre,Pop,Unified Twitter Taxonomy,Rihanna,"[0.9624, 'Rihanna', 'Person']"
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,"[0.6821, 'SuMove', 'Other']"
False,TV Genres,Talk shows,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Television,Unified Twitter Taxonomy,Talk shows,Person,Ellen DeGeneres,
