is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Business Taxonomy,Technology Business,Brand,Apple,Brand,Twitter,Unified Twitter Taxonomy,Apple,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,"[0.6128, 'Tweet', 'Other']"
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,"[0.6239, 'Tweet', 'Other']"
False,Brand,Twitter,Product,Twitter Circle,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,"[0.937, 'Twitter Circle', 'Other']"
False,Brand,Twitter,Product,Twitter Circle,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,"[0.8345, 'Twitter Circle', 'Other']"
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,"[0.5757, 'Tweet', 'Other']"
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Unified Twitter Taxonomy,S&P 500,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,Apple,Brand,Android,Brand,Twitter,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Technology,Social media,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Technology,Social media,
False,TV Shows,NFL Football,TV Shows,Futebol NFL,TV Shows,Fútbol Americano de la NFL,Sports Event,NFL Playoffs 2022,Sports Event,Super Bowl LVI,Sports Event,Rams at Bengals,"[0.9549, 'Super Bowl', 'Other']"
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Technology,Social media,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,Twitter,Unified Twitter Taxonomy,Twitter,Technology,Social media,"[0.9016, 'Fleets', 'Other']"
False,Brand Vertical,Business & finance,Entities [Entity Service],Services,Brand,Twitter,Interests and Hobbies Vertical,Business & finance,Interests and Hobbies Category,Cryptocurrencies,Interests and Hobbies,Investing,
