is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,
False,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Gaming Business,Movie Genre,Sports themed films,Movie Genre,Movies & TV,Unified Twitter Taxonomy,Entertainment,Unified Twitter Taxonomy,Sports themed films,"[0.6865, 'Primetime Channels', 'Other']"
False,Person,MrBeast,Digital Creator,MrBeast,Unified Twitter Taxonomy,MrBeast,Unified Twitter Taxonomy,Social media,Unified Twitter Taxonomy,Gaming content creators,Unified Twitter Taxonomy,YouTubers,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,"[0.8328, 'taylor', 'Person']"
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,
False,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,,,
False,Business Taxonomy,Entertainment & Leisure Business,Movie,Black Panther,Movie,Black Panther 2 ,Movie Genre,Action & adventure films,Movie Genre,Sci-fi & fantasy films,Movie Genre,Movies & TV,"[0.7546, 'WakandaForever', 'Other']"
False,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Social media,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,
False,Unified Twitter Taxonomy,Social media,Unified Twitter Taxonomy,YouTubers,Technology,Social media,Entities [Entity Service],Services,Brand,YouTube,Unified Twitter Taxonomy,YouTube,
False,Events [Entity Service],World Kindness Day,Reoccurring Trends,Kindness Day,Unified Twitter Taxonomy,Social media,Unified Twitter Taxonomy,Cultural events,Unified Twitter Taxonomy,Events,Unified Twitter Taxonomy,World Kindness Day,
