is Elon Musk,created at,text,source,possibly sensitive,lang,sentiment,retweet count,reply count,like count,quote count
False,2022-11-15 20:25:04+00:00,"Opportunity is knocking, and these fellas hope to seize the moment and break into greatness. Catch “The Break,” presented by my friends @thegeneralauto, premiering on December 5 on YouTube. ",Twitter Web App,False,en,0.0,11,19,133,1
False,2022-11-15 14:28:52+00:00,Streaming November 23 @HBO @hbomax ,Twitter Web App,False,en,0.0,303,87,2156,81
False,2022-11-08 20:57:28+00:00,"Are you up for the challenge? Get your @novexbiotech supplements and join us for 12 weeks of workouts designed by @rocshabazz 🔥 #novexbrandpartner
@bodybuildingcom 

 ",Twitter Web App,False,en,0.0,25,273,234,4
False,2022-11-07 20:18:24+00:00,"Be my guest at the world premiere of my @HBO docuseries “SHAQ” on Nov 14 in Atlanta! Includes exclusive Red Carpet &amp; Post Reception access. To bid on this opportunity, click on the link below. Proceeds benefit @shaqfoundation. #ShaqHBO
 
",Twitter Web App,False,en,0.0,39,192,282,11
False,2022-10-29 17:59:29+00:00,Keep it simple,Twitter for iPhone,False,en,0.0,992,763,7229,70
False,2022-10-26 20:54:41+00:00,Now we’re cookin @garyvee ,Twitter for iPhone,False,en,0.0,496,339,5528,47
False,2022-10-24 17:27:58+00:00,🏆 ,Twitter for iPhone,False,und,0.0,113,113,2923,10
False,2022-10-21 14:38:27+00:00,Change nothing and nothing will change,Twitter for iPhone,False,en,0.0,6541,689,35702,322
False,2022-10-18 17:39:13+00:00,Let’s talk greatest defender of all-time. And y’all young bucks best not sleep on the OGs. #ReturnOfTheGreats #NBA2K23ArcadeEdition ,Twitter Web App,False,en,0.7000000000000001,292,116,1089,8
False,2022-10-17 20:12:58+00:00,"Hey @PapaJohns, do you want to tell them the #ShaqARoni is back, or should I? Oops",Twitter Web App,False,en,0.0,330,130,2054,42
False,2022-10-17 15:21:48+00:00,As a wise woman once said “take the surprise out your voice” @Candace_Parker ,Twitter for iPhone,False,en,0.7,131,86,1823,20
False,2022-10-16 15:39:31+00:00,"Don’t bother looking down, we’re not going that way",Twitter for iPhone,False,en,-0.15555555555555559,3567,367,18034,172
False,2022-10-10 19:09:14+00:00,There’s a high chance you’re probably dehydrated.,Twitter for iPhone,False,en,0.16,2118,539,19425,295
False,2022-10-06 18:33:36+00:00,"I bestow on my @Astrals_NFT family untold strength in the @riftersio world. Power for all, taken from none... This demi-god's will be done. ",Twitter for iPhone,False,en,0.0,203,187,775,17
False,2022-10-05 01:15:37+00:00,"RELEASE THE MINIONS! 
this is your invitation to enjoy spooky season at @shaqtoberfest… if you can handle it.. MUAHAHAHAHA ",Twitter for iPhone,False,en,0.4,67,104,840,12
False,2022-10-03 17:22:56+00:00,"KEEP TALKING ABOUT MY FREE THROWS!! 
#Shaqtoberfest #Halloween ",Twitter for iPhone,False,en,0.625,670,223,9712,98
False,2022-10-01 23:01:12+00:00,"Slow down, you’re doing fine",Twitter for iPhone,False,en,-0.012962962962962973,15571,1329,100373,1353
False,2022-09-30 15:27:29+00:00,"I had a great time with @thegeneralauto, giving these students and teachers a break. The students got a break from class and The General gave the teachers a break with tickets to The Event this weekend. #RideWithTheGeneral ",Twitter Web App,False,en,0.42500000000000004,39,81,325,0
False,2022-09-28 19:33:20+00:00,"Look Mom, there’s a new Godmother in the family to celebrate! ",Twitter for iPhone,False,en,0.17045454545454544,25,90,303,0
False,2022-09-19 14:57:09+00:00,"Its nice to be important, but its more important to be nice !",Twitter for iPhone,False,en,0.53,2619,728,16884,166
False,2022-09-16 20:09:09+00:00,Papa Johns and MTN DEW teamed up to deliver a limited-edition gaming-ready bundle—the MTN DEW® NBA 2K23 Player's Pack Bundle. Visit  to learn more. ,Twitter Web App,False,en,0.5,57,624,409,7
False,2022-09-16 16:44:02+00:00,How to make the dream work. ,Twitter for iPhone,False,en,0.0,567,175,3836,34
False,2022-09-13 21:31:56+00:00,"It’s good to see @thegeneralauto giving back to HBCUs. If you’re a @tsuedu student or know one, go to the link at the bottom of the flyer for more info. ",Twitter Web App,False,en,0.39999999999999997,45,183,227,4
False,2022-09-12 23:27:29+00:00,🧛‍♂️,Twitter for iPhone,False,qst,0.0,1745,561,17638,243
False,2022-09-11 00:38:11+00:00,Just like free throws miss one make one ,Twitter for iPhone,False,en,0.4,200,353,3995,35
False,2022-09-10 06:41:47+00:00,Did we just become best friends?!? Love my crew ,Twitter for iPhone,False,en,0.75,437,298,5405,94
False,2022-09-09 17:05:09+00:00,"Long Beach! I’m taking over for my own twist on Halloween at SHAQTOBERFEST. We got family-friendly trick-or-treating during the day, frightfully fun twisted trails at night, exciting live entertainment, &amp; delicious food and drinks! Secure your tickets now  ",Twitter Web App,False,en,0.27173295454545454,70,98,599,20
False,2022-09-07 14:06:15+00:00,Congrats to my man Todd Krinsky who was just named the new CEO of @Reebok. I also want to give a shoutout to Matt O’Toole who has been the President and CEO of Reebok for the last 15 years and is joining the Authentic Brands family in 2023. Good luck to both! ,Twitter Web App,False,en,0.37784090909090906,46,353,724,4
False,2022-09-04 22:21:01+00:00,"My Sherif,  Reginald B Scandrett, has been nominated as a recipient of the prestigious RICE AWARD. The process is completed by online votes. If you will, please help to complete this process by using the QRC code and voting accordingly. Thank you ",Twitter for iPhone,False,en,0.1,26,145,329,3
False,2022-09-02 21:30:30+00:00,"Your first thought should always be how can I add value, not how can I benefit.",Twitter for iPhone,False,en,0.25,5459,602,22781,376
False,2022-08-30 21:42:57+00:00,"Smooth as butter 🧈 🔪 

Just took this new tech we built for a spin and won 🏆 

You can even win my personal MAYC @BoredApeYC 

 @Astrals_NFT 

Don’t take my word try it yourself 

                          👇 

 ",Twitter for iPhone,False,en,0.3340909090909091,135,631,366,11
False,2022-08-29 05:31:13+00:00,Got ‘em ,Twitter for iPhone,False,en,0.0,409,1137,7656,68
False,2022-08-28 20:32:44+00:00,How it went in the lane down under ,Twitter for iPhone,False,en,-0.15555555555555559,281,755,4474,44
False,2022-08-28 08:58:06+00:00,I’m gonna miss u Australia ,Twitter for iPhone,False,en,0.0,2525,2159,108076,315
False,2022-08-28 07:09:51+00:00,Keep your head down and keep building.,Twitter for iPhone,False,en,-0.15555555555555559,6697,817,35770,306
False,2022-08-28 01:58:29+00:00,"In celebration of @Astrals_NFT launching ASTRAPON 🎉

I will be giving away 3 Astrals NFTs

Rules: RT + Like this tweet🤝

If you’re feeling lucky come play with us👇 ",Twitter for iPhone,False,en,0.3333333333333333,1496,374,1417,45
False,2022-08-26 13:27:15+00:00,GF-9 from @NovexBiotech has been a game-changer. Get yours at  #novexbrandpartner ,Twitter Web App,False,en,0.0,26,609,412,2
False,2022-08-25 21:21:24+00:00,AUSSIE AUSSIE AUSSIE…,Twitter for iPhone,False,de,0.0,284,771,8080,70
False,2022-08-24 09:38:40+00:00,Miss u big man ,Twitter for iPhone,False,tl,0.0,10659,1431,123428,316
False,2022-08-24 01:15:13+00:00,If you could eat 1 cuisine for the rest of your life what would it be?,Twitter for iPhone,False,en,0.0,239,4156,7359,774
False,2022-08-23 08:37:02+00:00,I’m here in the land down undaa,Twitter for iPhone,False,en,-0.15555555555555559,660,1097,21113,174
False,2022-08-11 22:44:58+00:00,"Line wrapped around the building on opening day?! I’m so proud of this team! First franchised location EVER. We are now in Miamisburg, OH 👊🏿 can you dig it? @BigChickenShaq  ",Twitter for iPhone,False,en,0.625,80,271,951,22
False,2022-08-09 16:20:13+00:00,"At Steady, we’re in the business of you. Earn cash to put gas in the car, food on the table, and more money in your pocket. Find more ways to boost your cash flow. Download the free Steady app today! 📲  ",Twitter Web App,False,en,0.3549999999999999,46,1198,431,11
False,2022-08-08 14:52:28+00:00,Good luck boys @NRGgg! Me and @thegeneralauto are rooting for you. Bring home the W. ,Twitter Web App,False,en,0.875,377,142,7225,53
False,2022-08-04 07:28:29+00:00,,Twitter for iPhone,False,zxx,0.0,37,148,388,3
False,2022-08-03 21:47:27+00:00,Throwback ,Twitter for iPhone,False,en,0.0,7893,351,71019,290
False,2022-07-31 22:42:42+00:00,Thank you for paving the way. You will be missed legend. @RealBillRussell ,Twitter for iPhone,False,en,0.0,2691,236,50665,34
False,2022-07-31 17:43:39+00:00,Your attitude dictates everything,Twitter for iPhone,False,en,0.0,2606,413,20585,100
False,2022-07-29 21:52:17+00:00,Proud of my partner @omidfarhang and the whole Majority team ,Twitter for iPhone,False,en,0.5,14,184,215,3
False,2022-07-29 13:08:54+00:00,Good morning my neighbors!,Twitter for iPhone,False,en,0.875,237,638,6819,53
False,2022-07-28 20:41:37+00:00,"Congrats to my partners at @AuthenticBrands on the success of the @ElvisMovie. Check it out #ElvisMovie @bazluhrmann @austinbutler @elvis 

 ",Twitter Web App,False,en,0.3,76,326,581,5
False,2022-07-27 21:16:34+00:00,Love seeing the @eatmeatdistrict brand grow. Excited for everything that we are building. ,Twitter Web App,False,en,0.4375,39,77,351,6
False,2022-07-27 12:14:05+00:00,Make time for your wellness or you’ll be forced to make time for your illness,Twitter for iPhone,False,en,-0.30000000000000004,8068,418,40616,440
False,2022-07-24 03:42:11+00:00,Probably something…,Twitter for iPhone,False,en,0.0,219,373,2480,37
False,2022-07-22 17:09:09+00:00,"When I text you 🍕 +  🚌 that means it’s time to get ready to go back to school. I’m riding around ATL today in this school bus to encourage @PapaJohns team members to go “Back to School” and earn their degree – at NO COST – through the Dough &amp; Degrees Program
#backtoschool ",Twitter Web App,False,en,0.06666666666666667,109,137,1002,17
False,2022-07-22 14:08:13+00:00,Gm,Twitter for iPhone,False,qst,0.0,298,689,6423,58
False,2022-07-19 18:16:36+00:00,Mark you calendar! Join @shopmyexchange and @ExchangeChief on 7/21 at noon Central for “Chief Chat” and help say thank you to our troops. ,Twitter Web App,False,en,0.0,51,729,316,2
False,2022-07-19 16:20:28+00:00,Might have to kick myself off this list right here ,Twitter for iPhone,False,en,0.2857142857142857,3876,8622,82699,3591
False,2022-07-14 21:26:17+00:00,Imma get you back! ,Twitter for iPhone,False,en,0.0,128,520,1931,16
False,2022-07-14 21:25:00+00:00,Astrals showin up world wide 🌍🚀 ,Twitter for iPhone,False,en,-0.1,42,124,427,4
False,2022-06-30 15:58:37+00:00,I’m almost running out of side quests,Twitter for iPhone,False,en,0.0,4569,1743,80148,749
False,2022-06-28 14:29:57+00:00,"🏀🇦🇪 The @NBA is truly GLOBAL and I'm the official 2022 Ambassador for the first-ever #NBAinAbuDhabi Games! 

Tickets on sale from June 30 for @Bucks vs @ATLHawks | October 6 &amp; 8 2022 ",Twitter Web App,False,en,0.0,64,104,661,21
False,2022-06-27 20:21:02+00:00,REPEAT AFTER ME - “I deserve a strong financial future”. Make it your reality today with @thesteadyapp. Download the free Steady app and start earning more today  ,Twitter Web App,False,en,0.25,56,93,590,4
False,2022-06-22 17:04:25+00:00,This is why I love sports ,Twitter for iPhone,False,en,0.5,366,85,4642,11
False,2022-06-21 23:52:26+00:00,"I respect anyone who continues to build and refuses to quit! 
@GuimoneauDamien and @Astrals_NFT explain what we’re building here   



If you hold $GLXY vote at  and let’s show them we’re building.",Twitter for iPhone,False,en,0.0,119,113,414,10
False,2022-06-17 19:11:58+00:00,We are halfway through the year…,Twitter for iPhone,False,en,0.0,226,219,2651,27
False,2022-06-06 19:11:20+00:00,"Google Calendar, Google Docs, and Google Sheets are part of my new Dream Team.

See how all the products in @GoogleWorkspace can help your business grow. #ad  ",Twitter Web App,False,en,0.13636363636363635,82,165,771,36
