is Elon musk,created at,text,source,possibly sensitive,lang,sentiment,retweet count,reply count,like count,quote count
False,2022-10-30 01:30:59+00:00,Read my letter to my colleagues in the Congress here: ,Twitter for iPhone,False,en,0.0,2216,1140,12883,116
False,2022-10-30 01:30:59+00:00,"Please know that the prayers and warm wishes from so many are a comfort to our family and are helping Paul make progress with his recovery.

We are grateful for the quick response of law enforcement and emergency services, and for the life-saving medical care he is receiving.",Twitter for iPhone,False,en,0.35833333333333334,10138,12523,135644,753
False,2022-10-27 22:08:18+00:00,"This week, I was proud to represent the Congress at the First Parliamentary Summit of the International @CrimeaPlatform to reiterate our commitment to stand with Ukraine until victory is won. ",Twitter Media Studio,False,en,0.35000000000000003,468,1754,2340,59
False,2022-10-27 15:10:06+00:00,"Through that vital work, we strive to console devastated loved ones and pay tribute to the beautiful souls murdered four years ago. May their memories be a blessing. ",Twitter for iPhone,False,en,0.5499999999999999,144,193,768,7
False,2022-10-27 15:10:06+00:00,"Today, and every day, let us renew our resolve to disarm the forces of hate, build safer communities for our children and finally toss antisemitism into the dustbin of history.",Twitter for iPhone,False,en,-0.4,244,357,1282,21
False,2022-10-27 15:10:05+00:00,Today’s anniversary highlights our collective obligation to condemn and reject antisemitism in all its forms – from the vile conspiracies amplified by a celebrity to the violent extremism inflamed by the far right.,Twitter for iPhone,False,en,-0.13809523809523813,117,51,586,1
False,2022-10-27 15:10:05+00:00,"We have a responsibility to combat the scourge of antisemitism – to ensure every American can live free from bigoted speech and hate-fueled violence. 

Yet as we mark this dark day, words, symbols and acts of hate continue to torment Jews and other communities across the country.",Twitter for iPhone,False,en,-0.08977272727272728,105,38,489,3
False,2022-10-27 15:10:04+00:00,"As Americans mark 4 years since the horrendous attack on Pittsburgh’s Tree of Life Synagogue, the deadliest antisemitic massacre in American history, my colleagues and I join our nation’s Jewish community in mourning 11 peaceful worshippers stolen away by a monstrous act of hate.",Twitter for iPhone,False,en,-0.1375,900,812,4095,31
False,2022-10-26 17:28:01+00:00,"Join @RepHuffman, community leaders, partners &amp; me in San Francisco for the @GoldenGateNPS 50th Anniversary to celebrate this local treasure &amp; global icon where families can relax, children can learn &amp; millions can witness the natural beauty of our region. ",Twitter Media Studio,False,en,0.03333333333333333,169,338,748,16
False,2022-10-26 15:03:54+00:00,"It was an honor to welcome President @Isaac_Herzog to the United States Capitol yesterday — reaffirming Congress’ long-standing, bipartisan and bicameral support for the U.S.-Israel bond. ",Twitter for iPhone,False,en,0.8,276,714,1418,31
False,2022-10-25 23:36:59+00:00,"This week’s observance of 4 years since the deadly Tree of Life Synagogue shooting highlights that we must always condemn antisemitism and bigotry here and around the world — including from celebrities like Kanye West.

Being a celebrity is not a license to incite violence.",Twitter for iPhone,False,en,-0.2,1005,1293,4525,82
False,2022-10-25 22:00:45+00:00,"Join His Excellency @Isaac_Herzog, President of the State of Israel, and me at the United States Capitol ahead of a bilateral leadership meeting. ",Twitter Media Studio,False,en,0.0,132,206,692,10
False,2022-10-25 16:19:12+00:00,"Congressman @GerryConnolly and I return to Washington further informed about Ukraine’s security, economic and humanitarian needs, as the Congress prepares to deliver another round of assistance to Ukraine in the upcoming omnibus legislation. ",Twitter for iPhone,False,en,0.0,103,107,492,9
