is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,retweet count,reply count,like count,quote count
0,2022-12-12 20:00:01+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.35000000000000003,11,7,83,1
0,2022-12-12 18:38:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,20,24,238,1
0,2022-12-12 17:30:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,30,50,251,1
0,2022-12-11 20:10:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.6333333333333333,45,70,306,2
0,2022-12-10 16:00:01+00:00,Twitter Web App,False,en,1,1,0,0,0,0.1,54,92,603,4
0,2022-12-09 22:44:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.6000000000000001,44,57,421,3
0,2022-12-09 21:31:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.5,55,37,524,7
0,2022-12-09 20:37:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,36,50,412,3
0,2022-12-09 18:46:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.30625,125,63,1292,20
0,2022-12-09 17:18:59+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.4,29,49,292,2
0,2022-12-09 02:52:15+00:00,Twitter for iPhone,False,en,1,1,1,1,0,-0.025,79,68,1575,9
0,2022-12-08 23:26:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,95,42,678,6
0,2022-12-08 21:38:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,95,37,661,3
0,2022-12-08 20:00:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.4361111111111111,38,31,202,1
0,2022-12-08 18:22:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.13636363636363635,36,42,415,3
0,2022-12-08 17:19:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.8,1447,194,8305,63
0,2022-12-07 23:44:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.5,43,53,414,3
0,2022-12-07 22:34:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.2,57,62,624,4
0,2022-12-07 21:57:31+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,32,27,238,2
0,2022-12-07 20:05:52+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.6125,38,36,241,2
0,2022-12-07 19:31:48+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,34,21,323,2
0,2022-12-07 17:45:23+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,40,29,384,4
0,2022-12-06 21:26:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.7,23,30,270,1
0,2022-12-06 20:00:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,-0.0546875,24,20,184,1
0,2022-12-06 19:33:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,31,42,422,3
0,2022-12-06 18:33:17+00:00,Twitter Media Studio,False,en,1,1,0,0,1,0.0,38,20,485,9
0,2022-12-05 23:25:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.5,2060,95,9322,62
0,2022-12-05 21:18:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.35000000000000003,25,18,323,1
0,2022-12-05 20:16:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.65,38,38,251,1
0,2022-12-05 19:24:22+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.3333333333333333,41,30,445,2
0,2022-12-05 18:26:57+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.4000000000000001,47,70,367,5
0,2022-12-04 17:54:15+00:00,Twitter Web App,False,en,1,1,1,1,0,0.23958333333333331,39,72,324,5
0,2022-12-03 20:27:10+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,64,90,590,11
0,2022-12-02 23:15:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,54,73,429,3
0,2022-12-02 21:35:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.3125,63,43,666,2
0,2022-12-02 20:34:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.5,35,34,483,5
0,2022-12-02 19:43:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,43,41,547,4
0,2022-12-02 19:13:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.5,24,23,273,0
0,2022-12-02 18:19:33+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.6000000000000001,403,66,2651,19
0,2022-12-01 23:14:00+00:00,Twitter Media Studio,False,en,1,1,0,0,1,0.5,28,58,374,1
0,2022-12-01 21:45:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,27,17,304,1
0,2022-12-01 20:18:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.78125,26,35,238,3
0,2022-12-01 19:39:37+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.2,27,24,337,1
0,2022-12-01 17:27:25+00:00,Twitter for iPhone,False,en,1,1,0,0,0,0.5,308,828,14367,36
0,2022-11-30 23:55:03+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.9,37,70,457,2
0,2022-11-30 22:24:51+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.25,72,46,668,11
0,2022-11-30 21:39:57+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,38,24,430,2
0,2022-11-30 20:00:01+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.5375,35,32,246,3
0,2022-11-30 18:12:26+00:00,Twitter Media Studio,False,en,1,1,0,0,0,1.0,39,44,402,1
0,2022-11-30 00:02:15+00:00,Twitter Web App,False,en,1,1,0,0,0,0.6,65,60,1162,1
0,2022-11-29 23:15:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,31,12,290,2
0,2022-11-29 21:45:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.25,38,22,383,2
0,2022-11-29 21:24:20+00:00,Twitter Web App,False,en,1,0,1,1,1,0.325,36,27,711,1
0,2022-11-29 20:34:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.11741071428571427,28,26,274,0
0,2022-11-29 19:13:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,1.0,34,26,347,1
0,2022-11-29 17:52:06+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.2,100,32,638,10
0,2022-11-28 22:54:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.0,98,71,818,21
0,2022-11-28 21:33:04+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.19999999999999998,147,31,604,6
0,2022-11-28 20:21:09+00:00,Twitter for iPhone,False,en,1,1,1,1,0,0.4,40,44,366,3
0,2022-11-28 19:20:33+00:00,Twitter Media Studio,False,en,1,1,0,0,0,-0.6999999999999998,47,30,457,1
0,2022-11-28 16:56:31+00:00,Twitter Media Studio,False,en,1,1,1,1,0,1.0,53,42,453,2
0,2022-11-27 20:20:26+00:00,Twitter Web App,False,en,1,1,1,1,0,0.35000000000000003,75,103,713,6
0,2022-11-26 16:00:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.1175,84,122,870,12
0,2022-11-25 22:19:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.7,202,62,1570,10
0,2022-11-25 20:28:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.5,53,46,527,1
0,2022-11-25 19:16:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.2548611111111111,42,27,272,2
0,2022-11-25 17:30:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.5,527,1365,10739,54
0,2022-11-24 21:10:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.4083333333333334,46,33,336,4
0,2022-11-24 19:41:00+00:00,Twitter Media Studio,False,en,1,1,0,0,1,1.0,61,30,566,0
0,2022-11-24 18:11:00+00:00,Twitter Web App,False,en,1,0,0,0,1,0.75,112,178,2074,8
0,2022-11-23 23:15:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.6000000000000001,46,18,346,4
0,2022-11-23 20:43:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.09999999999999998,79,46,632,8
0,2022-11-23 19:37:49+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,41,30,334,0
0,2022-11-23 18:45:38+00:00,Twitter Media Studio,False,en,1,1,0,0,1,0.8,280,44,1629,12
0,2022-11-23 00:11:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,43,41,398,1
0,2022-11-22 22:50:00+00:00,Twitter Media Studio,False,und,1,1,0,0,1,0.0,44,17,401,1
0,2022-11-22 21:19:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.11666666666666668,74,32,960,5
0,2022-11-22 20:09:00+00:00,Twitter Media Studio,False,en,1,1,1,1,0,0.0,32,22,363,3
0,2022-11-22 18:38:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.0,60,33,545,3
0,2022-11-22 16:57:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.26666666666666666,61,33,519,14
0,2022-11-22 00:02:57+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.016666666666666677,330,134,1978,22
0,2022-11-21 22:12:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.475,69,25,504,2
0,2022-11-21 18:26:00+00:00,Twitter Media Studio,False,en,1,1,0,0,0,0.05,38,27,384,2
