is Elon Musk,created at,text,source,possibly sensitive,lang,sentiment,retweet count,reply count,like count,quote count
False,2022-11-16 12:48:24+00:00,A productive day at the Bali G-20 Summit. Met world leaders and shared my thoughts on key issues. Sharing today’s highlights… ,Twitter Media Studio,False,en,0.0,5286,558,22814,117
False,2022-11-16 10:09:37+00:00,"India will assume the G-20 Presidency for the coming year. Our agenda will be inclusive, ambitious, decisive and action-oriented. We will work to realise all aspects of our vision of ‘One Earth, One Family, One Future.’ ",Twitter for iPhone,False,en,0.125,6641,757,29637,236
False,2022-11-16 10:07:04+00:00,"Saya berterima kasih pada rakyat, pemerintah, serta Presiden Republik Indonesia @jokowi atas keramahannya.",Twitter for iPhone,False,in,0.0,1036,51,2977,9
False,2022-11-16 10:07:03+00:00,"Menghabiskan dua hari produktif di KTT @g20org Bali. Telah melakukan musyawarah yang sangat bernilai dengan para pemimpin dari berbagai belahan dunia, juga menyoroti posisi India sebagai poin utamanya.",Twitter for iPhone,False,in,0.0,1509,93,5019,13
False,2022-11-16 10:06:41+00:00,"Spent two productive days at the @g20org Summit in Bali. Had fruitful deliberations with various world leaders and also highlighted India’s position on key subjects. I thank the people of Indonesia, the Indonesian Government and President @jokowi for their warm hospitality.",Twitter for iPhone,False,en,0.125,2520,208,9948,24
False,2022-11-16 09:40:40+00:00,"Was great to meet PM @RishiSunak in Bali. India attaches great importance to robust 🇮🇳 🇬🇧 ties. We discussed ways to increase commercial linkages, raise the scope of security cooperation in context of India’s defence reforms and make people-to-people ties even stronger. ",Twitter for iPhone,False,en,0.5333333333333333,7589,825,55543,141
False,2022-11-16 09:09:47+00:00,"Glad to meet PM Albanese. Discussed ways to further cement the 🇮🇳 🇦🇺 Comprehensive Strategic Partnership, with a focus on cooperation in education, innovation and other sectors. We also talked about increasing trade and maritime cooperation. @AlboMP ",Twitter for iPhone,False,en,0.125,2889,181,12730,33
False,2022-11-16 08:46:01+00:00,Ci siamo anche concentrati sui modi per rafforzare la partnership economica tra i nostri Paesi. 🇮🇳 🇮🇹,Twitter for iPhone,False,it,0.0,1158,49,4468,6
False,2022-11-16 08:46:00+00:00,"Eccellente incontro con il Presidente del Consiglio @GiorgiaMeloni. Abbiamo scambiato opinioni su come India e Italia possano lavorare a stretto contatto in settori come l'energia, la difesa, la cultura e gli incentivi al cambiamento climatico. ",Twitter for iPhone,False,it,0.0,2529,137,12161,34
False,2022-11-16 08:44:58+00:00,"Excellent meeting with PM @GiorgiaMeloni. We exchanged views on how India and Italy can work closely in sectors like energy, defence, culture and in boosting climate change. We also focused on ways to enhance economic partnership between our countries. 🇮🇳 🇮🇹 ",Twitter for iPhone,False,en,0.6,3248,196,16740,39
