is Elon Musk,created at,text,source,possibly sensitive,lang,sentiment,retweet count,reply count,like count,quote count
False,2022-11-15 20:03:52+00:00,"Satoshi had a beautiful dream of a world where we don’t need to trust banks and store our life’s savings in collapsing fiat currencies. #Bitcoin means you don’t need to trust the FTXs of the world. My conversation on the Crypto Carnage with @cvpayne.
",Twitter for iPhone,False,en,0.85,642,179,2881,30
False,2022-11-15 13:35:33+00:00,#Bitcoin is Effective Altruism.,Twitter Web App,False,en,0.6,911,1225,8495,146
False,2022-11-15 00:49:57+00:00,"A detailed review by @matt_levine showing how FTX counterfeited billions via made-up crypto-tokens backed by air &amp; insider trading.

""Of that $19.6 billion of assets ... some $14.4 billion was in more-or-less FTX-associated tokens (FTT, SRM, SOL, MAPS).""
",Twitter Web App,False,en,0.4,694,367,3370,39
False,2022-11-14 22:29:03+00:00,"My discussion with @natbrunell on the promise of digital assets, the defects of crypto, and the appropriate ethical, economic, &amp; technical path forward for digital currencies, securities, tokens, exchanges, Twitter and #Bitcoin.  ",Twitter for iPhone,False,en,0.15,377,199,2182,34
False,2022-11-14 17:18:42+00:00,"The FTX collapse is an expensive ad for #Bitcoin. Too many good ideas have been pursued by the #Crypto industry in an unethical, unsound, irresponsible fashion. The only viable future is registered digital assets trading on regulated digital exchanges. 
",Twitter for iPhone,False,en,0.09999999999999999,2013,910,10026,202
False,2022-11-14 15:28:12+00:00,"The failure of FTX &amp; FTT represents the collapse of a corrupt crypto-bank fueled by an inflationary fiat crypto-currency. #Bitcoin is an incorruptible, deflationary asset and ethical network offering property rights &amp; freedom to billions of people.
 ",Twitter for iPhone,False,en,-0.02916666666666666,1835,599,8603,126
False,2022-11-14 13:45:01+00:00,#Bitcoin Hands,Twitter Web App,False,en,0.0,949,855,9638,68
False,2022-11-13 15:53:29+00:00,"Don't Trust, #Bitcoin.",Twitter Web App,False,en,0.0,2932,3905,27116,731
False,2022-11-12 22:49:54+00:00,#Bitcoin is the best crypto-asset. There is no second best crypto-asset.  ,Twitter for iPhone,False,en,0.6666666666666666,2536,969,11715,176
False,2022-11-12 15:22:44+00:00,Satoshi had the right idea.,Twitter Web App,False,en,0.2857142857142857,2310,1611,22751,167
False,2022-11-11 14:18:26+00:00,Starting to feel like a #Bitcoin Veteran.,Twitter Web App,False,en,0.0,1413,1724,17808,153
False,2022-11-10 16:46:30+00:00,"My discussion this morning on the virtues of #Bitcoin, the vices of #Crypto, the wisdom of Satoshi, and the future of Digital Assets with @MorganLBrennan, @davidfaber, &amp; @carlquintanilla.
",Twitter for iPhone,False,en,0.0,1469,522,6890,155
False,2022-11-10 14:46:05+00:00,#Bitcoin is the Asset.,Twitter Web App,False,en,0.0,1905,1585,15817,194
False,2022-11-09 13:21:00+00:00,"If it has counter-party risk, it's not money. #Bitcoin",Twitter Web App,False,en,0.0,1768,1465,14496,174
False,2022-11-08 16:50:16+00:00,"The prices may gyrate, the players may change, but the song remains the same. #Bitcoin ",Twitter for iPhone,False,en,0.0,1896,921,9107,168
False,2022-11-08 13:00:00+00:00,Elect #Bitcoin,Twitter Web App,False,es,0.8,1002,713,8159,63
False,2022-11-07 21:15:08+00:00,"Around the world, banks are failing and currencies are collapsing. #Bitcoin offers hope to people that would otherwise have no escape from economic misery. #Lebanon isn’t the first place to need it, and it won’t be the last. ",Twitter for iPhone,False,en,0.1375,1811,647,6851,128
False,2022-11-07 13:21:41+00:00,#Bitcoin is For All Mankind.,Twitter Web App,False,en,0.0,998,966,7084,51
False,2022-11-06 17:27:10+00:00,#Bitcoin is now less volatile than S&amp;P 500 and Nasdaq. ,Twitter Web App,False,en,-0.16666666666666666,1428,916,7335,166
False,2022-11-06 14:47:48+00:00,Vires in Numeris,Twitter Web App,False,fr,0.0,478,360,3907,25
False,2022-11-05 20:53:06+00:00,"Remember, remember, the 5th of November.🌹  #Bitcoin ",Twitter for iPhone,False,en,0.0,3017,970,10082,170
False,2022-11-05 16:41:31+00:00,"#Bitcoin is hope for #Lebanon, where the currency has lost 96% of its value vs USD and the banks have failed.
",Twitter Web App,False,en,-0.5,1273,466,6230,82
False,2022-11-05 13:21:50+00:00,#Bitcoin is Different.,Twitter Web App,False,en,0.0,930,862,7472,74
False,2022-11-04 22:45:35+00:00,#Bitcoin is a swarm of cyber hornets generating a wall of encrypted energy to protect you from those who would do you harm.  ,Twitter for iPhone,False,en,0.0,1242,809,7239,110
False,2022-11-04 17:17:12+00:00,#Bitcoin on #Lightning⚡️ is Fast Money.  ,Twitter for iPhone,False,en,0.2,1723,554,7077,106
False,2022-11-04 13:11:12+00:00,#Bitcoin is Truth.,Twitter Web App,False,en,0.0,1287,1097,9067,78
False,2022-11-03 18:14:28+00:00,#Bitcoin is now the dominant global monetary network. ,Twitter Web App,False,en,0.0,1764,930,8123,88
False,2022-11-03 12:29:57+00:00,"If you don't pay for the product, you are the product.",Twitter Web App,False,en,0.0,1689,939,12132,153
False,2022-11-02 12:21:00+00:00,#Bitcoin is Ethical.,Twitter Web App,False,en,0.2,979,800,7498,52
False,2022-11-01 20:05:43+00:00,"Please join the @MicroStrategy management team at 5pm ET as we discuss our Q3 2022 financial results and answer questions about our business and outlook for #BusinessIntelligence and #Bitcoin.  $MSTR
",Twitter Web App,False,en,0.0,185,150,1187,4
False,2022-11-01 17:23:58+00:00,"On Oct 6, 2022 I had the opportunity to discuss the relationship between property rights, freedom, technology, money, &amp; the future of our civilization at the @TheAtlasSociety's  ""Objectivism &amp; Bitcoin"" session in Malibu with @natbrunell &amp; @Eric_BIGfund.    ",Twitter Web App,False,en,0.0,551,255,2726,42
False,2022-11-01 13:10:19+00:00,November is a good month to walk the orange path. #Bitcoin ,Twitter Web App,False,en,0.7,1209,836,9086,59
False,2022-11-01 00:56:30+00:00,My #Bitcoin Halloween Epiphany 🤔 ,Twitter for iPhone,False,en,0.0,252,256,1883,14
False,2022-10-31 16:37:38+00:00,"The Voicepaper is a collaborative video recording of the #Bitcoin whitepaper narrated by Bitcoiners. Each contributor recites a section from Satoshi’s document and pay their respect to what and who started it all.
",Twitter Web App,False,en,0.0,120,83,722,4
False,2022-10-31 16:34:59+00:00,We are all Satoshi. Happy #Bitcoin White Paper Day. ,Twitter for iPhone,False,en,0.4,1474,603,7485,87
False,2022-10-31 13:32:35+00:00,"Everyone on @Twitter should have the option to obtain verification via a Blue Check, Green Check, or Orange Check, based on their qualifications and payment preferences.",Twitter Web App,False,en,-0.1,828,835,7014,84
False,2022-10-30 16:09:38+00:00,The Great Resistance: The Story of #Bitcoin by @tip_nz ,Twitter for iPhone,False,en,0.8,1642,450,5112,155
False,2022-10-30 13:09:37+00:00,,Twitter Web App,False,zxx,0.0,610,431,4455,27
False,2022-10-29 23:38:56+00:00,"#Bitcoin is hope for Nigeria. 🇳🇬 
",Twitter Web App,False,en,0.0,1103,662,5551,86
False,2022-10-29 18:18:53+00:00,"The global economy will run on #Lightning⚡️, secured by #Bitcoin. ",Twitter for iPhone,False,en,0.0,866,554,4540,81
False,2022-10-29 13:48:03+00:00,The only thing that's not scary👻 this weekend is #Bitcoin.,Twitter Web App,False,en,0.0,848,647,6705,39
False,2022-10-28 20:24:31+00:00,Don't get trapped by the mainstream narrative. #Bitcoin ,Twitter Web App,False,en,-0.2,825,547,4862,41
False,2022-10-28 15:31:26+00:00,"Over a long enough timeline, everything is going to zero vs. #Bitcoin.  ",Twitter for iPhone,False,en,-0.025,2558,1067,10051,165
