is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,subjectivity,retweet count,reply count,like count,quote count
1,2022-05-18 18:44:21+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.2875,0.6125,119200,112662,824040,34184
1,2022-05-18 16:23:46+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.625,0.5,28220,12492,238293,2949
1,2022-05-18 16:22:38+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.1,53412,64869,636336,12671
1,2022-05-18 16:18:50+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,7179,2989,101723,370
1,2022-05-18 16:09:17+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.315,0.18666666666666668,41699,16188,303223,4990
1,2022-05-18 08:35:54+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,2848,2577,73563,133
1,2022-05-18 07:15:54+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,16840,15179,224281,1694
1,2022-05-17 22:05:46+00:00,Twitter for iPhone,0,en,1,0,1,1,1,0.46875,0.575,8954,7488,138846,831
1,2022-05-17 16:21:33+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.1430555555555555,0.5333333333333333,13180,28524,105893,3248
1,2022-05-15 07:28:05+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.75,8815,6216,127787,744
1,2022-05-15 07:23:13+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,12182,6841,154199,1250
1,2022-05-15 02:30:38+00:00,Twitter for iPhone,0,ro,1,0,0,0,0,0.625,0.0,8381,14477,150102,1287
1,2022-05-15 01:34:47+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.9,0.9,1423,2839,52342,95
1,2022-05-15 01:32:28+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.8,0.75,1766,3267,63715,161
1,2022-05-15 00:45:18+00:00,Twitter for iPhone,0,de,1,0,0,0,0,0.5,1.0,11423,16193,195526,2209
1,2022-05-15 00:22:20+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0999999999999999,0.4444444444444444,3771,2629,75721,219
1,2022-05-15 00:19:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.3,0.5,9768,5549,156365,741
1,2022-05-14 23:55:42+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,5177,2274,48822,245
1,2022-05-14 23:08:17+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,12672,6124,197599,1372
1,2022-05-14 23:04:15+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2898412698412698,0.4871428571428571,92711,33677,538091,14011
1,2022-05-14 18:54:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.0499999999999999,0.35,5758,5218,124919,445
1,2022-05-14 18:52:07+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2208333333333333,0.3833333333333333,30528,26210,387340,5155
1,2022-05-14 02:41:00+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.5,1.0,55933,35300,812103,6032
1,2022-05-14 01:47:07+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.25,0.3125,9990,12620,123066,2604
1,2022-05-13 11:50:06+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,11861,11430,197781,2491
